Building Name,Address
Field & Fork Pantry,"564, Newell Drive, Gainesville, FL, 32611"
Fiber Hut CSE,"432, Newell Drive, Gainesville, FL, 32611"
Charles R. Perry Construction Yard,"573, Newell Drive, Gainesville, FL, 32611"
Norman Gym,"624, Southwest 12th Street, Gainesville, FL, 32611"
Hume Support Building,"2183, Museum Road, Gainesville, FL, 32612"
Beaty Tower B,"1365, Museum Road, Gainesville, FL, 32612"
Jennings Hall C,"1509, Museum Road, Gainesville, FL, 32612"
Jennings Hall B,"1509, Museum Road, Gainesville, FL, 32612"
Field & Fork Storage,"2656, Museum Road, Gainesville, FL, 32611"
Bat House,"Museum Road, Gainesville, FL, 32611"
Turfgrass Envirotron,"1388, Orchard Drive, Gainesville, FL, 32611"
IFAS Mechanical Equipment Building,"2550, Hull Road, Gainesville, FL, 32611"
GHT1,"1388, Orchard Drive, Gainesville, FL, 32611"
GHT3,"1388, Orchard Drive, Gainesville, FL, 32611"
GHT2,"1388, Orchard Drive, Gainesville, FL, 32611"
GHT4,"1388, Orchard Drive, Gainesville, FL, 32611"
GHT5,"1388, Orchard Drive, Gainesville, FL, 32611"
Plant Pathology Diagnostics Lab,"2570, Hull Road, Gainesville, FL, 32611"
Plant Science Facility,"2475, Memorial Road, Gainesville, FL, 32611"
Pathology Greenhouse,"2350, Mowry Road, Gainesville, FL, 32611"
Bio-Containment Facility,"1397, Orchard Drive, Gainesville, FL, 32611"
Polyhouse 5,"2475, Memorial Road, Gainesville, FL, 32611"
Shadehouse,"2475, Memorial Road, Gainesville, FL, 32611"
Shadehouse,"2475, Memorial Road, Gainesville, FL, 32611"
Polyhouse 10,"2475, Memorial Road, Gainesville, FL, 32611"
Polyhouse 9,"2475, Memorial Road, Gainesville, FL, 32611"
Shadehouse,"2475, Memorial Road, Gainesville, FL, 32611"
Shadehouse,"2475, Memorial Road, Gainesville, FL, 32611"
AT&T Fiber Hut,"1276, Date Palm Drive, Gainesville, FL, 32611"
GH13,"2475, Memorial Road, Gainesville, FL, 32611"
UF Transportation & Parking Services (TAPS),"1273, Gale Lemerand Drive, Gainesville, FL, 32611"
Pesticide Information Office,"2306, Mowry Road, Gainesville, FL, 32611"
IFAS Administrative Services,"1445, Date Palm Drive, Gainesville, FL, 32611"
IFAS Office/Lab,"1501, Date Palm Drive, Gainesville, FL, 32611"
Wildlife Molecular Ecology Office,"2322, Mowry Road, Gainesville, FL, 32611"
Forestry Resource & Conservation Office,"1502, Date Palm Drive, Gainesville, FL, 32611"
IFAS Communication Services,"2343, Mowry Road, Gainesville, FL, 32611"
IFAS Headhouse,"2296, Mowry Road, Gainesville, FL, 32611"
Water Reclamation Power Generator,"1103, Gale Lemerand Drive, Gainesville, FL, 32611"
Water Reclamation Electrical,"1103, Gale Lemerand Drive, Gainesville, FL, 32611"
Chemical Engineering Student Center,"1030, Center Drive, Gainesville, FL, 32611"
HOP Modular Building,"2197, Mowry Road, Gainesville, FL, 32611"
Mowry Chilled Water Plant,"2163, Mowry Road, Gainesville, FL, 32611"
CEHT Annex Building,"2197, Mowry Road, Gainesville, FL, 32611"
UF Vet Science Surgery,"2173, Mowry Road, Gainesville, FL, 32611"
UF Toxicology Research Facility,"2195, Mowry Road, Gainesville, FL, 32611"
Institute of Black Culture,"1510, West University Avenue, Gainesville, FL, 32603"
UF Christian Campus House,"1810, Northwest 1st Avenue, Gainesville, FL, 32603"
Krispy Kreme,"1702, West University Avenue, Gainesville, FL, 32603"
La Casita (Institute of Hispanic/Latina Culture),"1504, West University Avenue"
Center for Medical Agricultural and Veterinary Entomology,"1501, Date Palm Drive, Gainesville, FL, 32611"
Chipotle,"1432, West University Avenue, Gainesville, FL, 32603"
Midtown Apartments,"104, Northwest 17th Street, Gainesville, FL, 32603"
Trimark Leasing Office,"1702, West University Avenue, Gainesville, FL, 32603"
Islamic Community Center of Gainesville,"1010, West University Avenue, Gainesville, FL, 32601"
ΚΦΕ Collier Hall,"1608, West University Avenue, Gainesville, FL, 32603"
Cricket Wireless,"1126, West University Avenue, Gainesville, FL, 32601"
Beaty Towers,"1400, Museum Road, Gainesville, FL, 32611"
Communicore Building,"1249, Center Drive, Gainesville, FL, 32610"
James W. \,"1249, Center Drive, Gainesville, FL, 32610"
Student Health Care Center,"280, Fletcher Drive, Gainesville, FL, 32611"
Wawa,"1614, West University Avenue, Gainesville, FL, 32603"
Malachowsky Hall,"1064, Center Drive, Gainesville, FL, 32611"
Building #2,"1520, Museum Road, Gainesville, FL, 32611"
Building #1,"1520, Museum Road, Gainesville, FL, 32611"
Building #3,"1512, Museum Road, Gainesville, FL, 32611"
Building #5,"1504, Museum Road, Gainesville, FL, 32611"
